text_num	time	text	label
1	18/10/22 13:23	빅토리아 스파클링 워러 플로우 내 라인에서 라임 플레이버	1
2	18/10/22 13:18	강서구아저씨... 그래도 얼굴로는 욕하지말자... 스플뎀 들어와서 아파...............	1
3	18/10/22 13:17	한음영 오늘 7시반 공연이에요 수강하는 학우분들 잊지말고🤞	1
4	18/10/22 13:16	이번주 수요일 데이비드 대실영 휴강인가요 아니면 들으러가야하나욥?	1
5	18/10/22 13:07	미용실에서 펌할때 클리닉하는거있잖아 왜 가격표엔 볼륨매직 6만원 적혀있고막상 가면 "고객님 머리가 너무 상하셔서 클리닉 안들어가면 머리녹아여~ 클리닉은 2만원에서 6만원까지 추가되여"이런식으루근데 클리닉하는거랑 안하는거랑 차이있어?6만원짜리하면 진짜 훨씬 찰랑거리나	1
6	18/10/22 13:02	의류수거함 북문, 장전역 쪽에 의류수거함 있나요??	1
7	18/10/22 12:53	과건물 왔는데 오늘 수업하는 반이 많더라구요 물론 저도 수업있어서 갔습니다ㅎㅎ..추석때문인가 시험기간에도 많이들 수업을 하네요모두 화이팅입니다아...	1
8	18/10/22 12:52	족보타는 시험이 제일 싫다 아싸는 어케 하라고...ㅠ	0
9	18/10/22 12:47	화요일에 한일관계의 역사와 문화 휴강 맞죠? 수업없는거 맞죠?ㅜㅜ	1
10	18/10/22 12:39	오늘 자유관 밥 나오나요? 홈페이지에 식단표가 안 올라와서요ㅠ	0
11	18/10/22 12:37	화학 물리 평균 중간고사점수가 얼마나될까?적어도 50은 넘겠지?	1
12	18/10/22 12:35	다음생을 기약할게요 ㅂㅂ	1
13	18/10/22 12:35	김연화 교수님 일본어 고인물 얼마나 심함? 대충 보니 한 3-4개 정도 틀린거같은데	1
14	18/10/22 12:17	핫게간 해리포터글 보니까 해덕들 은근 많구나.. 나 크리스마스 때 론 엄마가 론한테 짜준 니트굿즈 있어서 입고 다닐려핶는데 학교 갈 땐 못입겠네..	1
15	18/10/22 12:16	겨울나기 일정 떴다!!! )	1
16	18/10/22 12:16	밥먹고 공부할수있는곳 추천해주세요 롯데리아처럼 먹고나서 계속 눌러있어도 되는 식당(?) 이나 체인점 추천해주세요!! 밥먹고 바로 공부하고싶은데 카페 갈 돈은 없어서ㅠ	1
17	18/10/22 12:10	오늘 헌법연습 수업있나요?? 김해원 교수님꺼 오늘 수업없죠??	1
18	18/10/22 12:06	시험 치고 특징 잘 친 시험 - 실수한거 같고 어디 잘 못 쓴거 같음못 친 시험 - 공부 안했는데 왠지 잘 본거 같음	1
19	18/10/22 12:04	우리 재수강하면 최대 B+만 받을 수 있자나 근데 F받고 다시 수업 들으면 A+까지 받을 수 있다는거 트루?	1
20	18/10/22 11:58	월수 생명과학과 미래세상 오늘 휴강인가여? ㅈㄱㄴ	1
21	18/10/22 14:45	유라시아 양 개많고 스탄 스탄 이거 처음듣는거 존나 많다 어떡하지	1
22	18/10/22 14:43	미생물의 세계 다큐 봐야한다고 들었는데 무슨다큐였죠?까먹었어ㅠ	1
23	18/10/22 14:34	시험 좆됐다 ㅋㅋ 범위 1번 훑어봄ㅋ	1
24	18/10/22 14:33	롤 마딱이있냐 마스터있어?	1
25	18/10/22 14:32	정혜민쌤ㅁ 이렇게 샅샅히 물어보실줄이야,,하	1
26	18/10/22 14:24	음식의과학 오늘 음식의 과학 수업하나요?	1
27	18/10/22 14:16	지금 새벽벌 자리없움?? 제곧내임 자리없어열???2층 1열람도ㅠ자리없어열??	1
28	18/10/22 14:15	시험치고나면 휴강하나요? 월수 수업인데 월욜날 시험치면 자동 수요일 휴강 맞죠?	1
29	18/10/22 14:11	내일 아침 시험인데 소주 3병은 괜찮겠지?	1
30	18/10/22 14:03	조선족... 커뮤니티... 실화... 어우야...ㅋㅋ	1
31	18/10/22 14:00	강창규교수님 한문 시험 수요일아니야???	1
32	18/10/22 13:59	도서관 앞자리 슬리퍼누나 발냄새... 구수하네좋당...ㅎ	1
33	18/10/22 13:52	시험 1시간전..... 집중 가장 안되는 시간.....	1
34	18/10/22 13:43	롤 lcb 대학생배틀 나갈사람 구합니다 롤 대학생배틀 팀원 구합니다!!탑레 다2 현티어 다3 이상 포지션 상관없이 구합니다. . . . . 주변에 롤 고수 있으면 소개좀 해주세요 ㅜㅜ	1
35	18/10/22 13:42	내 옆에 새도 계산기 빌런... 존나 힘차게 계산기 누르네...	1
36	18/10/22 13:40	맨발로 슬리퍼 신는 사람!! 혹시 슬리퍼에 발냄새 안베겨???빼는 방법 없나 앞으론 양말 신고 슬리퍼ㅜ신어야겠어...	1
37	18/10/22 13:37	. .	1
38	18/10/22 13:32	라틴어 월.수 1시30분수업 이선필교수님 라틴어수업 중간고사 쳤나요..??ㅠㅠ 알려주실 천사분있나요...	1
39	18/10/22 13:30	글로벌중국어 중국어 고수들 많나요 2개틀리면 A+ 불가능?	1
40	18/10/22 13:27	겨울에 호주 겨울에 호주가는데 거긴 여름이자녀... 한달 있는데 짐을 어째 꾸려야하는지... 한달 홈스테인데 막막하네 이렇게 오래 나가기 처음이라	1
41	18/10/22 15:53	ㅇㄷㅅ 교수님 경제학원론 시험강의실 원래 수업하는데 인가요 수업좀갈걸ㅠㅠㅠㅠ	1
