num	time	text	label
4918	2020-05-09 14:04	건도 사물함 배정 공지는 언제쯤 올려주시려나.. 5.6에 올려주신다길래 기다리고있었는데 아직도 안올라왔어ㅠ	0
43	2020-05-01 1:49	긱사 밥 먹을 때 수저 들고가야하나요? 제공되나요?	1
95	2020-05-01 2:44	웅비관에서 밤에 떠드는분들 조용히 좀 해주세요 긱사에서 술 드셨나;;	1
162	2020-05-01 11:07	인문 컴사 시험 퀴즈랑 과제 시간내에 제출하는 시험인데퀴즈는 책에 핵심어 위주로 공부하고, 과제는 실기시험인 것 같은ㄷ ㅔ, 온오프라인 강의에서 말씀해주신 스크래치랑 책에 있는 스크래치 다 공부하면 되나요..! ?혹시 컴사 시험 팁 있으신 선배분들 계신가여..?	1
85	2020-05-01 3:16	저스틴 비버 아파보이네 라임병 걸린거 감안해도 1-2년 전 모습이랑 차이 심하네	1
112	2020-05-01 4:19	계절학기 계절학기가 뭔가여? 그때도 새로 수강 신청해서 제가 듣고 싶은 과목 듣는건가여? 계절학기 장점은 뭔가여?설명부탁드립니당 ㅜ	1
113	2020-05-01 4:18	보톡할사람 https://open.kakao.com/o/smPDVz9b	1
6349	2020-05-11 17:24	대면수업 의견 알려달라 해놓고어디다가 적어야하는 지도 안알랴주냐과제도 맨날 제출하라고만 하고 과제게시판 안만들어서 큐엔에이에 전부 올리게하더니왜 맨날 이모양;그냥 쪽지 보내면됨?	0
3174	2020-05-07 0:55	플라토 이상하게 너무 느린데 저만 그런건가요? ㅠㅠㅠ	0
62	2020-05-01 2:29	나처럼 이런감성 좋아하는 사람? 멋지고 화려하지 않은 낡은 술집이나 가로등에 빛나는 전기줄이나 쌈마이같은 그런 감성 좋아하는 사람있냐	1
84	2020-05-01 3:35	우리 불사신인듯 새벽에 놀라운 사실 알고 잠	1
6734	2020-05-12 6:00	웅비관 사는데 잘려고 누웠거든?  근데 더워서 베란다 방충망은 닫고 창문열어놨는데 베란다 쪽에서 제초기 소리가 들리더라고 그래서 봤더니 벌 하나 창문에 부비부비하고 있어서 윗쪽 봤더니 벌집 ㅅㅂ 이거어카냐 무서워서 일단 베란다로 가는 문 닫아놨다참고로 벌집은 방충망하고 창문사이에 있고벌 한마리 들어와있는 상태	0
108	2020-05-01 4:47	4차 산업 혁명 낼 9시에 플라토에 또 중간고사 퀴즈가 뜬다는 말임?? ㅈㄱㄴ	1
48	2020-05-01 1:44	우리학교는 왜 약대 학부모집 안함? 딴학교들은 다 내년부터 학부모집한다는데 우리랑 충남대만 현행 유지라고 하네..	0
5714	2020-05-10 17:56	원래 과제 같은 거 잘 안 올려주는 스타일이신가요? 개강하고 단 한번도 과제. 영상 없엇음 (ppt음성파일만)	0
115	2020-05-01 4:14	망할 나만 kmooc안들어가지냐.. 벼락치기중이엇는디... 유인물 하나 다운 못받앗거늘.. 잇다 시험인뎅 ㅜ	0
823	2020-05-03 21:50	제가 기종격이라는 병때문에 입원했는데 발표를 해야하는 상황이였습니다. 생명에 지장이 있을 수 있는 병이라 발표를 늦출 수 있다면 늦추고 싶었어요. 그래서 4월28일날에 발표날짜를  바꿀 수 있냐고 메일에 입원내역 등을 첨부해서 보냈습니다. 하지만 안읽으시길래 5월1일에 쪽지를 보냈습니다. "발표 미룰 수 있을까해서 메일을 보내놨는데 확인부탁드립니다~~쏼라쏼라" 라고요,  근데 방금 "연기는 불가능합니다."라고 쪽지가 왔거든요, 연기가 불가능한건 알겠습니다. 병에 걸린건 제 잘못이죠. 발표 어쩔 수 없습니다 근데 메일은 도대체 왜 절대 안읽으시는거죠? 제 상황만이라도 알리고 싶은데결론 :  교수님이 메일 읽게 하고 싶은데 어떻게 해야하죠?장문죄송	0
1850	2020-05-05 10:18	공지 좀 빨리 달라구 ..	0
5929	2020-05-10 23:28	이번에 경영 수업 계절 개설안해..?	0
4885	2020-05-09 12:02	오늘부터라고 안했나요 플라토에 뭐 탑재해준다더니..ㅠㅠㅠ??	0
707	2020-05-02 0:08	고토 서평 시발 공지도 예정보다 이틀이나 늦게올라오고 책도 이해안되고 주제는 존나 애매모호하고 교필이라는게 빡친다	0
1413	2020-05-04 18:03	공지는 언제 올라왓어??연구실에만 쳐박혀잇다가 이제 알음 ㅡㅜ	0
6110	2020-05-11 9:55	맨날 수업시간 오버함그렇다고 수업을 열정적으로 하는 것도 아니고수업이랑 상관 없는 말만 하심 ...	0
20	2020-05-01 0:23	컴사 시험공부 어떻게 해야 할까요ㅜㅜ 컴사 교과서 보면 프로그램 만드는거 중에 수업시간에 다루지 않은 것들도 있던데 그런거까지 다 공부해야 할까요??ㅜㅜ	1
2511	2020-05-06 9:45	시험 플라토에 퀴즈로만 진행되나요?오늘 시험쳐야 하는데 갑자기 컴 부팅 안되서 피씨방 가야하는데...	0
7480	2020-05-13 10:45	기숙사 환급 5월부터 해준다면서 언제해줌 ㅡㅡ	0
5949	2020-05-10 23:57	시험 아직 아무말도없는거 맞음? 과제안내고 시험친단말 이후로 ㅇㅇ	0
5836	2020-05-10 21:09	타지에서 부산가야합니까..교수님 제발 시국 생각 좀 해주십시오..굳이 갈 필요도 없는 거 같은데..	0
37	2020-05-01 0:56	레포트에 목차 넣는 거 어느정도 분량부터 넣는게 낫다고 생각함? 3장짜리긴 한데 교수님이 지정해주신 글자 크기랑 줄간격으로 설정하면 사실상 기본 설정으론 1장 반정도 채우는 분량이거든목차 필요?	1
23	2020-05-01 1:18	흑흑 원래 학기초엔 외로운거니 내가 원래 성격자체는 놀러도 많이 다니고 연락 주고 받기도 좋아하고 남의 고민 듣기도 좋아하고 어쨋든 외향적이거든. 그래서 고향?이라해야하나. 사는 동네에서는 그냥 연락하면 바로 나오는 친구 사이도 많고 그런편이라 생각 안하고 있었는데 부산에 저어엉말 아는 애가 없더라구. 그리고 내가 예대라서 과특으로 같은 학원 다니다가 온 사이도 많아서 이미 무리도 좀 보이는 것 같고... 엠티를 안하니까 이게 문제더라구ㅜㅜ 다른 과랑도 내가 접점이 없어서 만날 수도 없구 에휴... 시끌시끌하게 놀아서 이런거 잘 모르다가 갑자기 조용해지니까 뭔가 느끼지 못했던 외로움이 몰려오드라... 흑흑	1
167	2020-05-01 10:56	근데 zoom 출석 지각하면 출석 안해주나?	1
