text_num	time	text	label
1	19/07/01 02:14	심심 쪽지할사람 ㄱ ㄱ	1
2	19/07/01 02:13	역시 남자들은 성형 잘 못 알아본다 친구남친도 친구가 쌍수 안했다고하니까 속더래 ㅋㅋㅋ	1
3	19/07/01 02:04	서면파고다 더쎈토닉 900up 올인원 들어보신 분 어떤가요?	1
4	19/07/01 02:04	사랑해 😘	1
5	19/07/01 02:03	하루 남았다 히히 롤토체스나 해야지	1
6	19/07/01 02:03	컴사 필기 틀린거 뭐틀렸는 지 교수님께 말씀드리면 보여주시려나요	1
7	19/07/01 01:55	평균보다몇점 이상이면 a+?? 평균보다몇점 이상이면a+??	1
8	19/07/01 01:54	이번긱사신청 언제쯤열림	1
9	19/07/01 01:53	문과친구들아 19년도 수능기준으로 올1컷점수 받으면 경희대 상경은 갈수있어?	1
10	19/07/01 01:48	반 평균보다 1점 높으면 b+이야 b0야 ? c는 아니겠지	1
11	19/07/01 01:46	롤토체스 꿀잼~ ㅎㅎㅎ	1
12	19/07/01 01:45	아 마이러버신청해보고싶다 괜찮은사람  없을거같긴한데ㅜ근데 신청해놓고 사진안올리거나 잠수타면안되지?	1
13	19/07/01 01:39	(벌레주의)이거 뭐임 파리같으면서도 분명 파리는 아닌 거 같은데 뭔지 모르겠음 개빠름	1
14	19/07/01 01:39	예비군 가려면 한 7시전엔 일어나야하는디 잠이 안온다...	1
15	19/07/01 01:38	얘들아 호감 표현 하려면 먼저 친해져야하냐? 그냥 좋아한다고 고백 박고싶은데..	1
